Build tool,Path,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.exist-db,exist-jetty-config,7.0.0-SNAPSHOT,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.exist-db,exist-samples,7.0.0-SNAPSHOT,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-api,6.1.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.opentest4j,opentest4j,1.3.0,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.junit.platform,junit-platform-commons,6.1.2,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apiguardian,apiguardian-api,1.1.2,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-params,6.1.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.assertj,assertj-core,3.27.7,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.awaitility,awaitility,4.3.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.easymock,easymock,5.6.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.ow2.asm,asm,9.8,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.xmlunit,xmlunit-core,2.12.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.xmlunit,xmlunit-matchers,2.12.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.xmlunit,xmlunit-legacy,2.12.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,com.googlecode.junit-toolbox,junit-toolbox,2.4,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.hamcrest,hamcrest-library,1.3,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.hamcrest,hamcrest-core,1.3,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.mockito,mockito-core,1.9.5,false,
