Source path,Owner class FQN,Field name,Serialized name,Serialized name source,Type FQN,Type resolution,Is collection,Is map,Is optional,Format,Required,Validations JSON,Example value
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexConfig.java,org.exist.indexing.lucene.LuceneIndexConfig$MatchAttrData,value,value,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexConfig.java,org.exist.indexing.lucene.LuceneIndexConfig$MatchAttrData,boost,boost,java-name,float,resolved,false,false,false,float,true,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexConfig.java,org.exist.indexing.lucene.LuceneIndexConfig$MatchAttrData,onSibling,onSibling,java-name,boolean,resolved,false,false,false,,true,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingDoc,nodeId,nodeId,java-name,org.exist.numbering.NodeId,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingDoc,qname,qname,java-name,org.exist.dom.QName,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingDoc,path,path,java-name,org.exist.storage.NodePath,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingDoc,text,text,java-name,java.lang.CharSequence,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingDoc,boost,boost,java-name,float,resolved,false,false,false,float,true,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingDoc,idxConf,idxConf,java-name,org.exist.indexing.lucene.LuceneIndexConfig,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingAttr,attr,attr,java-name,org.exist.dom.persistent.AttrImpl,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingAttr,path,path,java-name,org.exist.storage.NodePath,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexWorker.java,org.exist.indexing.lucene.LuceneIndexWorker$PendingAttr,conf,conf,java-name,org.exist.indexing.lucene.LuceneIndexConfig,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/NodePathPattern.java,org.exist.indexing.lucene.NodePathPattern$SimpleAttrValuePredicate,pcode,pcode,java-name,org.exist.indexing.lucene.NodePathPattern$PredicateCode,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/NodePathPattern.java,org.exist.indexing.lucene.NodePathPattern$SimpleAttrValuePredicate,attrName,attrName,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/NodePathPattern.java,org.exist.indexing.lucene.NodePathPattern$SimpleAttrValuePredicate,attrVal,attrVal,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/NodePathPattern.java,org.exist.indexing.lucene.NodePathPattern$NegatePredicate,negatedPredicate,negatedPredicate,java-name,org.exist.indexing.lucene.NodePathPattern$Predicate,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/AnalyzerConfig.java,org.exist.indexing.lucene.AnalyzerConfig$KeyTypedValue,key,key,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/AnalyzerConfig.java,org.exist.indexing.lucene.AnalyzerConfig$KeyTypedValue,value,value,java-name,,simple-name,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/AnalyzerConfig.java,org.exist.indexing.lucene.AnalyzerConfig$KeyTypedValue,valueClass,valueClass,java-name,java.lang.Class,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/XMLToQuery.java,org.exist.indexing.lucene.XMLToQuery,index,index,java-name,org.exist.indexing.lucene.LuceneIndex,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/XMLToQuery.java,org.exist.indexing.lucene.XMLToQuery$LazyRewriteQuery,inner,inner,java-name,org.apache.lucene.search.MultiTermQuery,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/XMLToQuery.java,org.exist.indexing.lucene.XMLToQuery$LazyRewriteQuery,rewrite,rewrite,java-name,org.apache.lucene.search.MultiTermQuery$RewriteMethod,resolved,false,false,false,,false,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$ChunkOffset,start,start,java-name,int,resolved,false,false,false,int32,true,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$ChunkOffset,len,len,java-name,int,resolved,false,false,false,int32,true,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$ChunkOffset,nodeId,nodeId,java-name,org.exist.numbering.NodeId,resolved,false,false,false,,false,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$ChunkOffset,absEnd,absEnd,java-name,int,resolved,false,false,false,int32,true,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$ChunkOffset,matchEnd,matchEnd,java-name,int,resolved,false,false,false,int32,true,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$ChunkOffset,spansNextChunk,spansNextChunk,java-name,boolean,resolved,false,false,false,,true,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$QNameTerm,qname,qname,java-name,org.exist.dom.QName,resolved,false,false,false,,false,{},
extensions/indexes/ngram/src/main/java/org/exist/indexing/ngram/NGramIndexWorker.java,org.exist.indexing.ngram.NGramIndexWorker$QNameTerm,term,term,java-name,java.lang.String,resolved,false,false,false,,false,{},
extensions/modules/cache/src/main/java/org/exist/xquery/modules/cache/CacheConfig.java,org.exist.xquery.modules.cache.CacheConfig,permissions,permissions,java-name,org.exist.xquery.modules.cache.CacheConfig$Permissions,resolved,false,false,true,,false,{},
