Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-core/src/main/java/org/exist/xquery/EnclosedExpr.java,org.exist.xquery.EnclosedExpr,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/EnclosedExpr.java,org.exist.xquery.EnclosedExpr,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/EnclosedExpr.java,org.exist.xquery.EnclosedExpr,eval,try-catch,SAXException,log+wrap,,WARN
exist-core/src/main/java/org/exist/xquery/EnclosedExpr.java,org.exist.xquery.EnclosedExpr,eval,try-catch,DOMException,custom,,
exist-core/src/main/java/org/exist/xquery/Atomize.java,org.exist.xquery.Atomize,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/Atomize.java,org.exist.xquery.Atomize,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/Atomize.java,org.exist.xquery.Atomize,atomize,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/SequenceConstructor.java,org.exist.xquery.SequenceConstructor,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/SequenceConstructor.java,org.exist.xquery.SequenceConstructor,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/SequenceConstructor.java,org.exist.xquery.SequenceConstructor,addPathIfNotFunction,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/TreatAsExpression.java,org.exist.xquery.TreatAsExpression,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/TreatAsExpression.java,org.exist.xquery.TreatAsExpression,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/CompiledXQuery.java,org.exist.xquery.CompiledXQuery,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/DynamicCardinalityCheck.java,org.exist.xquery.DynamicCardinalityCheck,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/DynamicCardinalityCheck.java,org.exist.xquery.DynamicCardinalityCheck,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ExternalModule.java,org.exist.xquery.ExternalModule,getFunction,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ExternalModule.java,org.exist.xquery.ExternalModule,declareVariable,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ExternalModule.java,org.exist.xquery.ExternalModule,analyzeGlobalVars,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,check,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/DynamicTypeCheck.java,org.exist.xquery.DynamicTypeCheck,check,try-catch,XPathException,wrap,,
